"","Dataset","Language","Model Type","n","m","ChiSq","df","p","CFI","GFI","AGFI","SRMR","MCSC","RMSEA","RMSEA.L","RMSEA.U","PAQ1","PAQ2","PAQ3","PAQ4","PAQ5","PAQ6","PAQ7","PAQ8","GDIFF"
"Unconstrained","SATP","eng","Unconstrained","864","3","75.86","10","0","0.99","0.98","0.93","0.04","-0.94","0.09","0.11","0.07","0","315","266","222","185","131","86","21","9.07"
"Equal comm.","SATP","eng","Equal comm.","864","3","370.06","17","0","0.93","0.91","0.8","0.05","-0.9","0.16","0.17","0.14","0","314","266","222","183","129","85","20","9.49"
"Equal angles","SATP","eng","Equal angles","864","3","534.25","17","0","0.9","0.87","0.72","0.1","-0.92","0.19","0.2","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","eng","Circumplex","864","3","830.65","24","0","0.85","0.81","0.72","0.11","-0.92","0.2","0.21","0.19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","arb","Unconstrained","809","3","44.04","10","0","0.99","0.99","0.96","0.02","-0.82","0.06","0.09","0.05","0","38","47","137","168","201","244","308","20.45"
"Equal comm.","SATP","arb","Equal comm.","809","3","119.26","17","0","0.97","0.97","0.93","0.04","-0.85","0.09","0.1","0.07","0","36","45","135","167","201","242","308","21.46"
"Equal angles","SATP","arb","Equal angles","809","3","527.62","17","0","0.86","0.86","0.71","0.18","-0.85","0.19","0.21","0.18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","arb","Circumplex","809","3","649.44","24","0","0.82","0.84","0.76","0.18","-0.83","0.18","0.19","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","cmn","Unconstrained","1832","3","172.22","10","0","0.98","0.98","0.92","0.02","-0.99","0.09","0.11","0.08","0","342","325","204","188","165","142","41","31.38"
"Equal comm.","SATP","cmn","Equal comm.","1832","3","366.93","17","0","0.96","0.95","0.9","0.04","-0.99","0.11","0.12","0.1","0","342","322","206","189","164","143","42","30.69"
"Equal angles","SATP","cmn","Equal angles","1832","3","1542.18","17","0","0.83","0.83","0.64","0.29","-0.96","0.22","0.23","0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","cmn","Circumplex","1832","3","1716.87","24","0","0.81","0.81","0.72","0.28","-0.96","0.2","0.2","0.19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","deu","Unconstrained","810","3","23.37","10","0.0094","1","1","0.99","0.01","-1","0.04","0.06","0.02","0","61","98","137","181","251","284","338","14.69"
"Equal comm.","SATP","deu","Equal comm.","810","3","316.72","17","0","0.94","0.92","0.82","0.06","-1","0.15","0.16","0.13","0","64","97","132","182","254","282","336","15.2"
"Equal angles","SATP","deu","Equal angles","810","3","403.26","17","0","0.93","0.89","0.77","0.13","-0.98","0.17","0.18","0.15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","deu","Circumplex","810","3","766.61","24","0","0.86","0.81","0.72","0.14","-0.97","0.2","0.21","0.18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","ell","Unconstrained","810","3","71.48","10","0","0.98","0.98","0.93","0.03","-1","0.09","0.11","0.07","0","71","90","141","163","229","271","331","12.62"
"Equal comm.","SATP","ell","Equal comm.","810","3","246.73","17","0","0.93","0.93","0.86","0.08","-1","0.13","0.14","0.12","0","72","86","133","161","233","267","328","13"
"Equal angles","SATP","ell","Equal angles","810","3","445.38","17","0","0.87","0.88","0.75","0.13","-0.95","0.18","0.19","0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","ell","Circumplex","810","3","595.98","24","0","0.82","0.85","0.77","0.14","-0.93","0.17","0.18","0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","fra","Unconstrained","891","3","41.46","10","0","0.99","0.99","0.97","0.02","-0.95","0.06","0.08","0.04","0","296","254","223","187","119","80","29","12.66"
"Equal comm.","SATP","fra","Equal comm.","891","3","357.31","17","0","0.92","0.91","0.82","0.1","-0.96","0.15","0.16","0.14","0","291","258","231","187","114","85","35","13.09"
"Equal angles","SATP","fra","Equal angles","891","3","267.55","17","0","0.94","0.93","0.86","0.12","-0.94","0.13","0.14","0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","fra","Circumplex","891","3","625.06","24","0","0.86","0.86","0.78","0.14","-0.92","0.17","0.18","0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","hrv","Unconstrained","864","3","58.92","10","0","0.99","0.99","0.95","0.01","-0.91","0.07","0.09","0.06","0","274","267","199","188","121","91","9","22.14"
"Equal comm.","SATP","hrv","Equal comm.","864","3","290.7","17","0","0.95","0.93","0.84","0.06","-0.9","0.14","0.15","0.12","0","276","267","200","187","117","87","6","22.52"
"Equal angles","SATP","hrv","Equal angles","864","3","1394.2","17","0","0.74","0.72","0.4","0.2","-0.88","0.31","0.32","0.29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","hrv","Circumplex","864","3","1688.57","24","0","0.69","0.68","0.51","0.21","-0.87","0.28","0.3","0.27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","ind","Unconstrained","891","3","39.96","10","0","0.99","0.99","0.97","0.02","-0.96","0.06","0.08","0.04","0","306","257","239","222","160","78","54","19.56"
"Equal comm.","SATP","ind","Equal comm.","891","3","315.19","17","0","0.93","0.92","0.84","0.08","-0.9","0.14","0.15","0.13","0","307","256","237","221","158","76","52","18.9"
"Equal angles","SATP","ind","Equal angles","891","3","732.27","17","0","0.84","0.83","0.65","0.21","-0.93","0.22","0.23","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","ind","Circumplex","891","3","1177.14","24","0","0.74","0.76","0.63","0.26","-0.92","0.23","0.24","0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","ita","Unconstrained","810","3","58.38","10","0","0.99","0.98","0.95","0.03","-0.96","0.08","0.1","0.06","0","51","87","132","163","252","267","329","12.63"
"Equal comm.","SATP","ita","Equal comm.","810","3","251.28","17","0","0.94","0.93","0.86","0.07","-0.95","0.13","0.14","0.12","0","57","104","142","170","274","285","336","21.08"
"Equal angles","SATP","ita","Equal angles","810","3","660.37","17","0","0.85","0.84","0.65","0.16","-0.9","0.22","0.23","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","ita","Circumplex","810","3","933.15","24","0","0.78","0.78","0.67","0.17","-0.9","0.22","0.23","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","jpn","Unconstrained","917","3","26.8","10","0.0028","1","1","0.99","0.01","-0.94","0.04","0.06","0.02","0","42","99","148","159","269","289","339","21.13"
"Equal comm.","SATP","jpn","Equal comm.","917","3","440.26","17","0","0.89","0.9","0.78","0.09","-0.99","0.16","0.18","0.15","0","46","101","138","159","271","288","339","21.18"
"Equal angles","SATP","jpn","Equal angles","917","3","760.84","17","0","0.81","0.83","0.64","0.18","-0.9","0.22","0.23","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","jpn","Circumplex","917","3","1200.25","24","0","0.7","0.76","0.64","0.2","-0.91","0.23","0.24","0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","kor","Unconstrained","810","3","42.95","10","0","0.99","0.99","0.96","0.01","-1","0.06","0.08","0.04","0","58","98","133","155","260","285","299","17.92"
"Equal comm.","SATP","kor","Equal comm.","810","3","220.34","17","0","0.95","0.94","0.88","0.08","-0.99","0.12","0.14","0.11","0","56","90","124","151","251","275","288","17.72"
"Equal angles","SATP","kor","Equal angles","810","3","605.83","17","0","0.86","0.85","0.67","0.22","-1","0.21","0.22","0.19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","kor","Circumplex","810","3","763.88","24","0","0.82","0.81","0.72","0.23","-1","0.2","0.21","0.18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","nld","Unconstrained","864","3","31.44","10","5e-04","1","0.99","0.98","0.01","-0.94","0.05","0.07","0.03","0","319","246","231","186","103","49","18","22.63"
"Equal comm.","SATP","nld","Equal comm.","864","3","225.41","17","0","0.97","0.94","0.88","0.06","-0.92","0.12","0.13","0.11","0","317","249","235","186","103","53","19","21.36"
"Equal angles","SATP","nld","Equal angles","864","3","1069.73","17","0","0.83","0.77","0.5","0.25","-0.9","0.27","0.28","0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","nld","Circumplex","864","3","1505.27","24","0","0.77","0.7","0.55","0.25","-0.88","0.27","0.28","0.26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","por","Unconstrained","1890","3","98.28","10","0","0.99","0.99","0.96","0.02","-0.9","0.07","0.08","0.06","0","88","125","144","171","253","279","334","23.62"
"Equal comm.","SATP","por","Equal comm.","1890","3","703.27","17","0","0.92","0.92","0.82","0.09","-0.87","0.15","0.16","0.14","0","81","121","140","171","252","275","334","20.85"
"Equal angles","SATP","por","Equal angles","1890","3","1279.36","17","0","0.86","0.86","0.7","0.22","-0.84","0.2","0.21","0.19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","por","Circumplex","1890","3","2116.47","24","0","0.77","0.78","0.68","0.23","-0.83","0.22","0.22","0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","spa","Unconstrained","1647","3","117.44","10","0","0.99","0.98","0.94","0.04","-0.98","0.08","0.09","0.07","0","37","102","147","172","235","277","331","10.13"
"Equal comm.","SATP","spa","Equal comm.","1647","3","671.28","17","0","0.92","0.91","0.81","0.06","-0.97","0.15","0.16","0.14","0","41","103","147","174","238","279","332","10.63"
"Equal angles","SATP","spa","Equal angles","1647","3","489.92","17","0","0.94","0.93","0.86","0.11","-0.98","0.13","0.14","0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","spa","Circumplex","1647","3","1049.99","24","0","0.88","0.86","0.8","0.13","-0.99","0.16","0.17","0.15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","swe","Unconstrained","945","3","63.54","10","0","0.99","0.99","0.95","0.02","-0.94","0.07","0.09","0.06","0","67","90","149","174","248","279","336","14.86"
"Equal comm.","SATP","swe","Equal comm.","945","3","326.09","17","0","0.94","0.92","0.84","0.05","-0.95","0.14","0.15","0.13","0","66","87","146","175","249","275","335","14.13"
"Equal angles","SATP","swe","Equal angles","945","3","683.64","17","0","0.88","0.85","0.68","0.13","-0.92","0.2","0.22","0.19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","swe","Circumplex","945","3","893","24","0","0.84","0.81","0.72","0.14","-0.93","0.2","0.21","0.18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","tur","Unconstrained","918","3","107.19","10","0","0.98","0.97","0.91","0.03","-0.9","0.1","0.12","0.09","0","308","259","249","202","105","68","44","18.08"
"Equal comm.","SATP","tur","Equal comm.","918","3","358.89","17","0","0.93","0.92","0.82","0.08","-0.92","0.15","0.16","0.14","0","305","263","254","203","106","71","47","18.46"
"Equal angles","SATP","tur","Equal angles","918","3","744.57","17","0","0.84","0.84","0.65","0.23","-0.87","0.22","0.23","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","tur","Circumplex","918","3","1057.39","24","0","0.78","0.78","0.67","0.23","-0.83","0.22","0.23","0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unconstrained","SATP","vie","Unconstrained","792","3","89.97","10","0","0.97","0.98","0.91","0.04","-0.77","0.1","0.12","0.08","0","295","302","205","180","128","135","36","22.3"
"Equal comm.","SATP","vie","Equal comm.","792","3","146.75","17","0","0.95","0.96","0.92","0.06","-0.77","0.1","0.11","0.08","0","292","302","205","180","126","132","38","21.93"
"Equal angles","SATP","vie","Equal angles","792","3","942.07","17","0","0.65","0.77","0.52","0.22","-0.87","0.26","0.28","0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circumplex","SATP","vie","Circumplex","792","3","1077.81","24","0","0.6","0.75","0.62","0.23","-0.81","0.24","0.25","0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA
