Language,Model Type,n,m,CFI,GFI,SRMR,Score,passing
arb,Equal comm.,809,3,0.971,0.969,0.044,3,Pass
cmn,Equal comm.,1832,3,0.96,0.954,0.044,3,Pass
deu,Equal comm.,810,3,0.943,0.915,0.059,3,Pass
ell,Equal comm.,810,3,0.928,0.934,0.079,3,Pass
eng,Equal comm.,864,3,0.934,0.907,0.052,3,Pass
fra,Equal comm.,891,3,0.919,0.913,0.098,1,Fail
hrv,Equal comm.,864,3,0.949,0.926,0.065,3,Pass
ind,Equal comm.,891,3,0.933,0.923,0.078,3,Pass
ita,Equal comm.,810,3,0.944,0.932,0.069,3,Pass
jpn,Equal comm.,917,3,0.892,0.896,0.087,0,Fail
kor,Equal comm.,810,3,0.952,0.941,0.084,2,Fail
nld,Equal comm.,864,3,0.967,0.943,0.056,3,Pass
por,Equal comm.,1890,3,0.925,0.917,0.092,2,Fail
spa,Equal comm.,1647,3,0.92,0.91,0.063,3,Pass
swe,Equal comm.,945,3,0.944,0.924,0.053,3,Pass
tur,Equal comm.,918,3,0.927,0.915,0.079,3,Pass
